time,tx,ty,tz,rx,ry,rz,rw
1539699528,-0.712963564403,-0.187616682499,0.0,0.0,0.0,-0.348834378299,0.937184387683
time,tx,ty,tz,rx,ry,rz,rw
time,tx,ty,tz,rx,ry,rz,rw
time,tx,ty,tz,rx,ry,rz,rw
time,tx,ty,tz,rx,ry,rz,rw
time,tx,ty,tz,rx,ry,rz,rw
6969,,,,,,,
dia1-ekf-mocap-laser-link,,,,,,,
6969,,,,,,,
1539699410,1.66785061983e-05,1.33430712094e-09,-0.0100000000541,0.0,0.0,4.54019577655e-06,1.0000000027
1539699411,1.66785083166e-05,2.38053234243e-09,-0.00999999957402,0.0,0.0,-1.47919697142e-05,0.999999978592
1539699412,-8.63217548692e-06,2.23044595448e-09,-0.00999999949159,0.0,0.0,-1.53287833181e-05,0.999999974462
1539699413,1.66785167305e-05,1.59676671572e-09,-0.00999999963381,0.0,0.0,-1.02799781206e-05,0.999999981637
1539699414,0.135539843685,-0.000215400556069,-0.010000000003,0.0,0.0,0.0210269584099,0.999778909222
1539699415,0.330721940303,0.0249362756726,-0.00999999960054,0.0,0.0,0.165494820567,0.986210638971
1539699416,0.490359870665,0.108601255514,-0.0100000003705,0.0,0.0,0.35815383549,0.933662608857
1539699417,0.601998598551,0.229693904077,-0.00999999998692,0.0,0.0,0.531798586743,0.846870864908
1539699418,0.656064918086,0.380793964375,-0.00999999988507,0.0,0.0,0.668063469297,0.744104286709
1539699419,0.657168350956,0.533657230556,-0.0100000004649,0.0,0.0,0.755572885547,0.655064623621
1539699420,0.621118298117,0.700318355609,-0.00999999987937,0.0,0.0,0.824692851309,0.565580842089
1539699421,0.544595163614,0.837400185589,-0.0100000000438,0.0,0.0,0.912925738275,0.408125716871
1539699422,0.439382283291,0.933317111152,-0.0100000001168,0.0,0.0,-0.97253742295,-0.23274658459
1539699423,0.293747107352,0.984546787136,-0.0099999997489,0.0,0.0,-0.995413572646,-0.0956650107521
1539699424,0.316499776574,1.05554619152,-0.00999999972974,0.0,0.0,-0.989211927263,-0.146491419322
1539699425,0.18288741387,1.09093537173,-0.00999999991079,0.0,0.0,-0.999999927819,-0.00036802306898
1539699426,0.0637627963211,1.0259271618,-0.00999999985441,0.0,0.0,-0.957597681507,0.288108774273
1539699427,-0.0107482804142,0.787542540922,-0.00999999999911,0.0,0.0,-0.786549893316,0.617526732406
1539699428,-0.0541337576649,0.616025545447,-0.0100000003118,0.0,0.0,-0.628362725126,0.777920508058
1539699429,-0.0234094452494,0.457310988922,-0.00999999995113,0.0,0.0,-0.618389526789,0.785871737799
1539699430,0.000411510562246,0.290491763343,-0.00999999982756,0.0,0.0,-0.648292923909,0.76139100833
1539699431,0.0204723974625,0.115279845157,-0.0099999998661,0.0,0.0,-0.681050255489,0.732236666733
1539699432,0.035711925275,-0.058885541064,-0.00999999975988,0.0,0.0,-0.712769442884,0.701398386994
1539699433,0.0263311514718,-0.231647886206,-0.0100000001312,0.0,0.0,-0.749243726972,0.662294383725
1539699434,-0.0202001526884,-0.384141970504,-0.0100000004002,0.0,0.0,-0.866125869877,0.499825987273
1539699435,-0.110630995394,-0.488226940894,-0.010000000267,0.0,0.0,-0.949702709132,0.313152983332
1539699436,-0.249358337601,-0.54391487303,-0.00999999950046,0.0,0.0,-0.99925545979,0.0385807740506
1539699437,-0.431980373778,-0.492759755144,-0.0100000003768,0.0,0.0,-0.97915233478,-0.203127405767
1539699438,-0.588718426747,-0.39516938184,-0.00999999957772,0.0,0.0,-0.934564996363,-0.355792390791
1539699439,-0.664994759404,-0.288229626048,-0.0100000001839,0.0,0.0,0.810335793011,0.585965801868
1539699440,-0.662731249799,-0.207971845448,-0.0100000003597,0.0,0.0,0.47826098082,0.878217780618
1539699441,-0.591573183347,-0.180720367968,-0.0100000002488,0.0,0.0,0.0155751521041,0.999878712404
1539699442,-0.487376548904,-0.217549586309,-0.0100000000155,0.0,0.0,-0.33279557991,0.942998994453
1539699443,-0.380565959671,-0.350374895437,-0.0100000004444,0.0,0.0,-0.427433339512,0.904046892982
1539699444,-0.236125352926,-0.432225072156,-0.00999999970577,0.0,0.0,-0.171238542133,0.985229583532
1539699445,-0.0972647195993,-0.426780245515,-0.0100000001317,0.0,0.0,0.152027519641,0.988376267645
1539699446,-0.00716647184084,-0.349812526752,-0.00999999990104,0.0,0.0,0.413466927076,0.910519132319
1539699447,0.0610771350738,-0.211270470612,-0.00999999957728,0.0,0.0,0.472670774332,0.88123906905
1539699448,0.162818005506,-0.0872032257904,-0.0100000000332,0.0,0.0,0.393605209988,0.919279577706
